id;id3;id4;id5;id6
536441754;Community;Je bent een echte Arnhemmer als;2013-03-29T08:15:38+0000;574092719287281
536441754;Musician/band;Ken Yates;2013-03-28T10:29:21+0000;135187889828576
536441754;Food/beverages;Hertog Jan;2013-03-08T09:43:59+0000;143941822338196
536441754;Professional sports team;AFC Ajax;2013-03-08T09:43:53+0000;123044724409551
536441754;Musician/band;Bruce Springsteen;2013-03-08T09:38:13+0000;7401700249
536441754;Musician/band;Tommy Emmanuel;2013-03-07T21:05:07+0000;16303028649
542065575;Tv show;The Big Bang Theory;2013-06-19T05:57:58+0000;22934684677
542065575;Fictional character;Sheldon Cooper;2013-06-19T05:57:50+0000;23519525029
542065575;Personal blog;KayleighOC (Nail Art);2013-06-13T21:49:04+0000;270387399703258
542065575;Actor/director;Kelly Brook;2013-03-13T22:55:26+0000;119439324807642
542065575;Sports/recreation/activities;Temple Martial Arts;2012-12-01T13:57:00+0000;130923016955963
542065575;Actor/director;Mila Kunis;2012-09-11T06:01:12+0000;217131971670945
542065575;Computers/technology;PC Specialist Ltd;2012-08-01T12:44:16+0000;118170188202131
542065575;Tv show;Game of Thrones;2012-07-31T06:22:19+0000;74133697733
542065575;Musician/band;Florence and the Machine;2012-07-31T06:22:12+0000;36590889165
542065575;Tv show;Archer;2012-07-26T21:03:39+0000;167784669907069
549436517;Education;Kingston University;2013-07-24T12:22:39+0000;5519059730
549436517;Education;Official Kingston University Students' Union (KUSU);2013-07-24T12:21:34+0000;114071675368863
549436517;University;Kingston University Accommodation;2013-07-24T11:52:19+0000;253307508101562
549436517;Website;easyfundraising.org.uk;2013-05-21T14:38:14+0000;229867728430
549436517;Education;Kingston University Undergraduate Entry 2013;2013-05-04T13:39:05+0000;190172271087666
549436517;Government organization;Student Finance England;2013-05-04T13:25:29+0000;289244984633
549436517;Community;Schilderijen Hans Schalkwijk;2013-02-16T13:22:42+0000;482422045151862
549436517;Musician/band;PhatCake;2012-12-15T15:47:26+0000;249973581782131
549436517;Radio station;World Wide Wednesdays;2012-11-26T15:28:09+0000;172431512902395
549436517;Aerospace/defense;Delft Aerospace Rocket Engineering;2012-11-11T11:39:03+0000;430400370354737
581638086;Energy/utility;Vattenfall Pressrum Sverige;2013-07-25T23:01:14+0000;194584990588253
581638086;Education;"Art amp; Design";2013-06-03T16:39:12+0000;224132780955169
581638086;Organization;Vattenfall;2013-04-03T14:39:16+0000;103968269639202
581638086;Community;Left - Handed People;2013-02-15T21:58:22+0000;26459373419
581638086;Community;Places to See Before You Die;2013-01-15T19:14:20+0000;146895365347773
581638086;Energy/utility;Nuon;2012-12-25T13:07:41+0000;109036419116590
581638086;Shopping/retail;???????? ??????;2012-12-22T17:46:32+0000;377257415702680
581638086;Local business;Werken bij Nuon;2012-11-28T20:04:58+0000;169370613118020
581638086;Energy/utility;Vattenfall Nordic Jobs;2012-10-17T19:07:19+0000;138827824479
581638086;Company;"Siemens Jobs amp; Careers";2012-10-15T11:45:59+0000;281985151919772
596029487;Wine/spirits;ABSOLUT;2013-03-30T04:59:54+0000;233749806681306
596029487;Community;???? ??????;2013-02-03T04:05:56+0000;286960678061635
596029487;Local business;Weymouth England;2012-08-13T19:11:50+0000;405644739460447
596029487;Professional sports team;MWC2014.com Masters World Cup 2014 | Pillerseetal;2012-07-04T09:01:12+0000;279439118796673
619660436;Sports venue;Hockeyvereniging Hic;2013-05-21T18:59:05+0000;369963986441201
619660436;Travel/leisure;"Nonstop Ski amp; Snowboard";2013-05-20T20:13:31+0000;22231330832
619660436;Local business;By Lopes;2013-05-17T20:15:12+0000;354779927942349
619660436;Company;Eventina;2013-05-15T19:54:36+0000;536367796388836
619660436;Arts/entertainment/nightlife;"Ryk amp; Reis";2013-03-22T20:26:12+0000;234890040925
619660436;Local business;Ryk og Reis;2013-03-22T20:21:17+0000;131557116907983
619660436;Restaurant/cafe;Lempicka Amsterdam;2013-01-17T16:39:56+0000;146635968823823
